"Time (s) Run #4","Temperature (°C) Run #4"
51.650,93.4
51.700,93.4
51.750,93.4
51.800,93.4
51.850,93.4
51.900,93.4
51.950,93.4
52.000,93.4
52.050,93.4
52.100,93.4
52.150,93.4
52.200,93.4
52.250,93.4
52.300,93.4
52.350,93.4
52.400,93.3
52.450,93.3
52.500,93.3
52.550,93.3
52.600,93.3
52.650,93.3
52.700,93.3
52.750,93.3
52.800,93.3
52.850,93.3
52.900,93.3
52.950,93.2
53.000,93.2
53.050,93.2
53.100,93.2
53.150,93.2
53.200,93.2
53.250,93.2
53.300,93.2
53.350,93.2
53.400,93.2
53.450,93.2
53.500,93.2
53.550,93.2
53.600,93.2
53.650,93.2
53.700,93.2
53.750,93.2
53.800,93.2
53.850,93.2
53.900,93.2
53.950,93.2
54.000,93.2
54.050,93.2
54.100,93.2
54.150,93.2
54.200,93.2
54.250,93.2
54.300,93.2
54.350,93.2
54.400,93.2
54.450,93.2
54.500,93.2
54.550,93.2
54.600,93.2
54.650,93.2
54.700,93.2
54.750,93.2
54.800,93.2
54.850,93.2
54.900,93.2
54.950,93.2
55.000,93.2
55.050,93.2
55.100,93.2
55.150,93.2
55.200,93.3
55.250,93.3
55.300,93.3
55.350,93.3
55.400,93.3
55.450,93.3
55.500,93.3
55.550,93.3
55.600,93.3
55.650,93.3
55.700,93.3
55.750,93.3
55.800,93.3
55.850,93.3
55.900,93.3
55.950,93.3
56.000,93.3
56.050,93.4
56.100,93.4
56.150,93.4
56.200,93.4
56.250,93.4
56.300,93.4
56.350,93.4
56.400,93.4
56.450,93.4
56.500,93.4
56.550,93.4
56.600,93.4
56.650,93.4
56.700,93.4
56.750,93.4
56.800,93.4
56.850,93.5
56.900,93.5
56.950,93.5
57.000,93.5
57.050,93.5
57.100,93.5
57.150,93.5
57.200,93.5
57.250,93.5
57.300,93.5
57.350,93.5
57.400,93.5
57.450,93.5
57.500,93.5
57.550,93.5
57.600,93.6
57.650,93.6
57.700,93.6
57.750,93.6
57.800,93.6
57.850,93.6
57.900,93.6
57.950,93.6
58.000,93.6
58.050,93.6
58.100,93.6
58.150,93.6
58.200,93.6
58.250,93.6
58.300,93.6
58.350,93.6
58.400,93.6
58.450,93.6
58.500,93.6
58.550,93.6
58.600,93.6
58.650,93.6
58.700,93.6
58.750,93.6
58.800,93.6
58.850,93.6
58.900,93.6
58.950,93.6
59.000,93.6
59.050,93.6
59.100,93.6
59.150,93.6
59.200,93.6
59.250,93.6
59.300,93.6
59.350,93.6
59.400,93.6
59.450,93.6
59.500,93.6
59.550,93.6
59.600,93.6
59.650,93.6
59.700,93.6
59.750,93.6
59.800,93.6
59.850,93.6
59.900,93.6
59.950,93.5
60.000,93.5
60.050,93.5
60.100,93.5
60.150,93.5
60.200,93.5
60.250,93.5
60.300,93.5
60.350,93.5
60.400,93.5
60.450,93.5
60.500,93.5
60.550,93.5
60.600,93.5
60.650,93.5
60.700,93.5
60.750,93.5
60.800,93.5
60.850,93.5
60.900,93.5
60.950,93.5
61.000,93.5
61.050,93.5
61.100,93.5
61.150,93.5
61.200,93.5
61.250,93.5
61.300,93.5
61.350,93.5
61.400,93.5
61.450,93.5
61.500,93.5
61.550,93.5
61.600,93.5
61.650,93.5
61.700,93.5
61.750,93.5
61.800,93.5
61.850,93.5
61.900,93.5
61.950,93.5
62.000,93.6
62.050,93.6
62.100,93.6
62.150,93.6
62.200,93.6
62.250,93.6
62.300,93.6
62.350,93.6
62.400,93.6
62.450,93.6
62.500,93.6
62.550,93.6
62.600,93.6
62.650,93.6
62.700,93.6
62.750,93.6
62.800,93.6
62.850,93.6
62.900,93.6
62.950,93.6
63.000,93.6
63.050,93.6
63.100,93.6
63.150,93.6
63.200,93.7
63.250,93.7
63.300,93.7
63.350,93.7
63.400,93.7
63.450,93.7
63.500,93.7
63.550,93.7
63.600,93.7
63.650,93.7
63.700,93.7
63.750,93.7
63.800,93.7
63.850,93.7
63.900,93.7
63.950,93.7
64.000,93.7
64.050,93.7
64.100,93.7
64.150,93.7
